,date,code
90,2011-05-20,600016
91,2011-05-23,600016
92,2011-05-24,601166
93,2011-05-25,601166
94,2011-05-26,601166
95,2011-05-27,601166
96,2011-05-30,601166
97,2011-05-31,601166
98,2011-06-01,601166
99,2011-06-02,601166
100,2011-06-03,601166
101,2011-06-07,601166
102,2011-06-08,601166
103,2011-06-09,601166
104,2011-06-10,601166
105,2011-06-13,601166
106,2011-06-14,601166
107,2011-06-15,601166
108,2011-06-16,601166
109,2011-06-17,601166
110,2011-06-20,601166
111,2011-06-21,601166
112,2011-06-22,601166
113,2011-06-23,601166
114,2011-06-24,601166
115,2011-06-27,601166
116,2011-06-28,601166
117,2011-06-29,601166
118,2011-06-30,601166
119,2011-07-01,601166
120,2011-07-04,601166
121,2011-07-05,601166
122,2011-07-06,601166
123,2011-07-07,601166
124,2011-07-08,600016
125,2011-07-11,600016
126,2011-07-12,600016
127,2011-07-13,600016
128,2011-07-14,600016
129,2011-07-15,600016
130,2011-07-18,600016
131,2011-07-19,601166
132,2011-07-20,600016
133,2011-07-21,600016
134,2011-07-22,601166
135,2011-07-25,601166
136,2011-07-26,600016
137,2011-07-27,600016
138,2011-07-28,600016
139,2011-07-29,600016
140,2011-08-01,600016
141,2011-08-02,600016
142,2011-08-03,600016
143,2011-08-04,600016
144,2011-08-05,600016
145,2011-08-08,601166
146,2011-08-09,601166
147,2011-08-10,601166
148,2011-08-11,601166
149,2011-08-12,601166
150,2011-08-15,601166
151,2011-08-16,601166
152,2011-08-17,601166
153,2011-08-18,601166
154,2011-08-19,601166
155,2011-08-22,601166
156,2011-08-23,601166
157,2011-08-24,601166
158,2011-08-25,601166
159,2011-08-26,601166
160,2011-08-29,601166
161,2011-08-30,601166
162,2011-08-31,601166
163,2011-09-01,601166
164,2011-09-02,601166
165,2011-09-05,601166
166,2011-09-06,601166
167,2011-09-07,601166
168,2011-09-08,601166
169,2011-09-09,601166
170,2011-09-13,601166
171,2011-09-14,601166
172,2011-09-15,601166
173,2011-09-16,601166
174,2011-09-19,601166
175,2011-09-20,601166
176,2011-09-21,601166
177,2011-09-22,601166
178,2011-09-23,601166
179,2011-09-26,601166
180,2011-09-27,601166
181,2011-09-28,601166
182,2011-09-29,601166
183,2011-09-30,601166
184,2011-10-10,601166
185,2011-10-11,601166
186,2011-10-12,601166
187,2011-10-13,601166
188,2011-10-14,601166
189,2011-10-17,601166
190,2011-10-18,601166
191,2011-10-19,601166
192,2011-10-20,601166
193,2011-10-21,601166
194,2011-10-24,601166
195,2011-10-25,601166
196,2011-10-26,601166
197,2011-10-27,601166
198,2011-10-28,601166
199,2011-10-31,601166
200,2011-11-01,601166
201,2011-11-02,601166
