时间\科目,资本充足率(%),核心资本充足率(%),拨备覆盖率(%),存款总额(亿元),贷款总额(亿元),存贷款比例(%),不良贷款(亿元),不良贷款率(%),单一最大客户贷款比例(%),最大十家客户贷款比例(%),资本净额(亿元),核心资本净额(亿元),加权风险资产净额(亿元),短期资产流动性比例(%),非利息收入(亿元),非利息收入占比(%),净息差(%),净利差(%)
2007-12-31,5.77,5.77,48.29,2812.77,2218.14,75.78,124.75,5.62,5.41,42.74,126.92,126.93,2200.56,39.33,12.02,11.12,3.1,3.27
2007-09-30,4.27,4.28,48.51,2879,2139,--,137,6.41,--,--,--,--,--,--,8.31,10.69,3.19,3.17
2007-06-30,3.88,3.86,39.05,2664.66,2074.14,--,145.18,7,9.18,--,--,--,--,46.03,4.57,9.34,3.16,3.13
2007-03-31,--,--,--,2443.77,--,--,--,--,--,--,--,--,--,--,2.15,9.13,3.19,3.14
2006-12-31,3.71,3.68,48,2322.06,1821.82,71.36,145.65,7.98,9.17,--,64.2,63.79,1732.22,45.99,6.53,9.15,2.8,2.8
2006-09-30,3.59,3.59,--,--,--,--,145.39,8.3,--,--,--,--,--,--,4.96,9.76,2.73,2.73
2006-06-30,3.58,--,45.44,2117.16,1759.39,70.36,146.7,8.34,12.64,--,--,--,--,32.86,2.84,9.1,2.55,2.56
2006-03-31,3.83,--,45.26,2054.54,1619.06,--,144,8.9,--,--,--,--,--,--,1.34,--,2.12,2.08
2005-12-31,3.7,3.71,43,2020.43,1561.03,58.23,145.72,9.33,20.67,122.22,48.8,48.85,1317.13,35.89,13.83,--,2.02,2.01
2005-09-30,3.43,--,41.75,1925.46,1403.92,57,144.46,10.29,--,--,--,--,--,36.12,9.7,--,2.04,2
2005-06-30,3.14,3.15,23.27,1761.36,1353.39,62.07,258.98,10.74,13.05,101.38,--,--,--,33.62,6.46,--,2.04,1.96
2005-03-31,2.8,2.82,38.3,1615.77,1250.35,64.52,144.92,11.59,--,--,--,--,--,27.71,2.94,--,2.04,1.96
2004-12-31,2.3,2.32,20.51,1672.66,1261.95,65.46,144.04,11.41,16.92,128.7,33.1,33.4,1436.81,25.39,10.8,--,2.15,2.08
2004-09-30,--,--,--,1645,1337,--,--,--,--,--,--,--,--,--,7.71,--,2.11,2.03
2004-06-30,--,--,40.07,1613.49,1414.13,69.76,124.86,8.84,--,--,--,--,--,27.38,5.17,--,2.1,2.04
2004-03-31,--,--,38.58,1515,1507,--,118.3,7.85,--,--,--,--,--,--,2.37,--,1.96,1.92
2003-12-31,6.96,3.24,21.93,1417.48,1101.2,68.76,116,8.49,4.59,45.15,89.31,41.53,12.83,30.59,--,--,--,--
2003-09-30,7.01,--,--,1333,1134,67.49,--,--,--,--,--,--,--,29.56,--,--,--,--
2003-06-30,8.62,--,27.9,1164.79,887.85,59.07,129.46,0.11,--,--,--,--,--,35.09,--,--,--,--
2003-03-31,8.89,--,--,1081.15,899.5,63.98,--,--,--,--,--,--,--,27.85,--,--,--,--
2002-12-31,9.49,--,25.27,1146.93,841.15,55.5,128.19,10.29,--,--,--,--,--,37.15,--,--,--,--
2002-09-30,8.61,--,--,1058.09,813.6,54.61,--,--,--,--,--,--,--,40.69,--,--,--,--
2002-06-30,9.28,--,20.26,935.94,702.3,64.51,133.34,--,--,--,--,--,--,24.7,--,--,--,--
2002-03-31,10.51,--,--,828.38,676.84,68.66,--,--,--,--,--,--,--,25.24,--,--,--,--
2001-12-31,10.57,--,24.02,878.77,534.65,57.18,105.45,14.8,--,--,--,--,--,42.13,--,--,--,--
2001-06-30,13.74,--,10.43,688.31,502.12,72.67,155.97,--,--,--,--,--,--,37.28,--,--,--,--
2000-12-31,17.56,--,12.03,522.65,382.11,67.67,125.51,--,--,--,--,--,--,36.9,--,--,--,--
2000-06-30,13.49,--,--,403.94,278.49,--,--,--,--,--,--,--,--,--,--,--,--,--
1999-12-31,--,--,--,376.17,265.53,--,--,--,--,--,--,--,--,--,--,--,--,--
